timeStamp,,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1.70E+12,,7964,Women's Sunglasses Category,200,OK,Users: 1-41,text,TRUE,,527925,1348,50,50,https://www.aliexpress.com/w/wholesale-Women's-Sunglasses.html?spm=a2g0o.categorymp.0.0.74cevY9rvY9r6e&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Women%27s+Sunglasses%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000337683%2527%2520%2529%22%2C%22guide_trace%22%3A%2238b49dbb-039e-4d8a-b48e-14d6fe76f8bb%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1285,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,9525,Women's Sunglasses Category,200,OK,Users: 1-47,text,TRUE,,519903,1348,50,50,https://www.aliexpress.com/w/wholesale-Women's-Sunglasses.html?spm=a2g0o.categorymp.0.0.74cevY9rvY9r6e&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Women%27s+Sunglasses%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000337683%2527%2520%2529%22%2C%22guide_trace%22%3A%2238b49dbb-039e-4d8a-b48e-14d6fe76f8bb%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1509,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,7851,Women's Sunglasses Category,200,OK,Users: 1-44,text,TRUE,,457686,1348,50,50,https://www.aliexpress.com/w/wholesale-Women's-Sunglasses.html?spm=a2g0o.categorymp.0.0.74cevY9rvY9r6e&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Women%27s+Sunglasses%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000337683%2527%2520%2529%22%2C%22guide_trace%22%3A%2238b49dbb-039e-4d8a-b48e-14d6fe76f8bb%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1885,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,474,Home Page,200,OK,Users: 1-42,text,TRUE,,42801,1254,50,50,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,199,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,7067,Men's Belts Category,200,OK,Users: 1-12,text,TRUE,,477678,1858,50,50,https://www.aliexpress.com/w/wholesale-Men's-Belts.html?spm=a2g0o.categorymp.0.0.74cezvzpzvzpyF&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Men%27s+Belts%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000338524%2527%2520%2529%22%2C%22guide_trace%22%3A%2265349224-abe8-4ee3-a2e4-727a5a38ed04%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,2000,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,1811,Subcategory of Men's Belt,200,OK,Users: 1-2,text,TRUE,,2294,1245,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,1783,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,3699,Men's Belts Category,200,OK,Users: 1-35,text,TRUE,,513462,1855,50,50,https://www.aliexpress.com/w/wholesale-Men's-Belts.html?spm=a2g0o.categorymp.0.0.74cezvzpzvzpyF&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Men%27s+Belts%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000338524%2527%2520%2529%22%2C%22guide_trace%22%3A%2265349224-abe8-4ee3-a2e4-727a5a38ed04%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1339,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,767,Subcategory of Men's Belt,200,OK,Users: 1-19,text,TRUE,,2309,1232,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,725,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,1832,Subcategory of Men's Belt,200,OK,Users: 1-4,text,TRUE,,2291,1232,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,1775,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,1195,Home Page,200,OK,Users: 1-40,text,TRUE,,42801,1255,50,50,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,888,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
