timeStamp,elapsed,label,responseCode,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
0.0,-0.21475061738061144,https://github.com/,200,Users 1-1,text,1,0.0,0.9767347845483453,-1.0649621648619836,-2.340103470709439,-2.340103470709439,-0.1963155374423835,-0.04476614810358452,-0.09615653024894097
0.0,-0.21404539943726753,https://github.com/,200,Users 1-7,text,1,0.0,0.9765525927313391,-1.0649621648619836,-1.952711879707987,-1.952711879707987,-0.24036761836011689,-0.04476614810358452,-0.12738188560976285
0.0,-0.09306134337915574,https://github.com/,200,Users 1-9,text,1,0.0,0.9765424709637276,-1.0649621648619836,-1.3070592280388997,-1.3070592280388997,-0.2419043188572471,-0.04476614810358452,-0.13567612062748116
0.0,0.015385504797286424,https://github.com/,200,Users 1-10,text,1,0.0,0.9768056369216256,-1.0649621648619836,-0.8551023718705388,-0.8551023718705388,0.07158258255732053,-0.04476614810358452,-0.09859601113650518
0.0,0.20885029392130067,https://github.com/,200,Users 1-11,text,1,0.0,0.9765627144989505,-1.0649621648619836,0.048811340466183,0.048811340466183,0.6350394315050729,-0.04476614810358452,0.6195871621623983
0.0,0.34958045239304214,https://github.com/,200,Users 1-12,text,1,0.0,0.9766133233370078,-1.0649621648619836,0.6298987269683614,0.6298987269683614,0.539251767183955,-0.04476614810358452,0.5254231999024198
0.0,0.28642426768913143,https://github.com/,200,Users 1-18,text,1,0.0,0.9766436886398422,-1.0649621648619836,0.6298987269683614,0.6298987269683614,0.7303148623271474,-0.04476614810358452,0.06631289686283544
0.0,0.3910315959518123,https://github.com/,200,Users 1-14,text,1,0.0,0.9768056369216256,-1.0649621648619836,0.6298987269683614,0.6298987269683614,1.1431750625561368,-0.04476614810358452,0.4512629809204678
0.0,0.560440617452873,https://github.com/,200,Users 1-4,text,1,0.0,0.976309670308664,-1.0649621648619836,0.6298987269683614,0.6298987269683614,-0.008838076792495026,-0.04476614810358452,-0.1093297270417877
0.0,0.5526048625268295,https://github.com/,200,Users 1-5,text,1,0.0,0.9768461239920714,-1.0649621648619836,0.6298987269683614,0.6298987269683614,0.2124467947942586,-0.04476614810358452,0.26000767933543373
0.0,0.4292700799909046,https://github.com/,200,Users 1-13,text,1,0.0,0.9762793050058297,-1.0649621648619836,0.6298987269683614,0.6298987269683614,1.2476706963609927,-0.04476614810358452,0.5517695934881133
0.0,0.39988599901824146,https://github.com/,200,Users 1-15,text,1,0.0,0.9762286961677724,-1.0649621648619836,0.6298987269683614,0.6298987269683614,1.0458506977378885,-0.04476614810358452,0.36588114985572046
0.0,0.3375133898069351,https://github.com/,200,Users 1-19,text,1,0.0,0.9765525927313391,-1.0649621648619836,0.6298987269683614,0.6298987269683614,0.6509186699754186,-0.04476614810358452,0.03557543767952639
0.0,0.3689347670603696,https://github.com/,200,Users 1-17,text,1,0.0,0.9765627144989505,-1.0649621648619836,0.6298987269683614,0.6298987269683614,0.8547876025946962,-0.04476614810358452,0.17316215973814786
0.0,0.34417378149407213,https://github.com/,200,Users 1-20,text,1,0.0,0.9762590614706067,-1.0649621648619836,0.6298987269683614,0.6298987269683614,0.778464811237228,-0.04476614810358452,0.6498367251681945
0.0,0.021497393639600362,Login,422,Users 1-7,text,0,0.0,-1.0452300005872035,0.7073724676703274,0.6298987269683614,0.6298987269683614,1.4976406438941774,-0.04476614810358452,-0.21569109373958728
